subject,session,prop_word_faster,pwf_ord1,pwf_ord2
1,1,0.416666666666667,0.25,0.583333333333333
1,2,0.416666666666667,0.291666666666667,0.541666666666667
2,1,0.604166666666667,0.666666666666667,0.541666666666667
2,2,0.583333333333333,0.541666666666667,0.625
3,1,0.458333333333333,0.333333333333333,0.583333333333333
3,2,0.458333333333333,0.333333333333333,0.583333333333333
4,1,0.416666666666667,0.416666666666667,0.416666666666667
4,2,0.479166666666667,0.458333333333333,0.5
5,1,0.708333333333333,0.666666666666667,0.75
5,2,0.270833333333333,0.291666666666667,0.25
6,1,0.541666666666667,0.583333333333333,0.5
6,2,0.666666666666667,0.708333333333333,0.625
7,1,0.583333333333333,0.666666666666667,0.5
7,2,0.583333333333333,0.75,0.416666666666667
8,1,0.416666666666667,0.375,0.458333333333333
8,2,0.645833333333333,0.625,0.666666666666667
9,1,0.479166666666667,0.541666666666667,0.416666666666667
9,2,0.395833333333333,0.416666666666667,0.375
10,1,0.479166666666667,0.583333333333333,0.375
10,2,0.5,0.625,0.375
11,1,0.416666666666667,0.5,0.333333333333333
11,2,0.395833333333333,0.416666666666667,0.375
12,1,0.541666666666667,0.666666666666667,0.416666666666667
12,2,0.458333333333333,0.541666666666667,0.375
13,1,0.479166666666667,0.541666666666667,0.416666666666667
13,2,0.375,0.375,0.375
14,1,0.458333333333333,0.583333333333333,0.333333333333333
14,2,0.458333333333333,0.625,0.291666666666667
15,1,0.416666666666667,0.458333333333333,0.375
15,2,0.395833333333333,0.291666666666667,0.5
16,1,0.458333333333333,0.458333333333333,0.458333333333333
16,2,0.520833333333333,0.541666666666667,0.5
17,1,0.4375,0.708333333333333,0.166666666666667
17,2,0.541666666666667,0.583333333333333,0.5
18,1,0.458333333333333,0.458333333333333,0.458333333333333
18,2,0.479166666666667,0.5,0.458333333333333
19,1,0.270833333333333,0.5,0.0416666666666667
19,2,0.458333333333333,0.75,0.166666666666667
20,1,0.4375,0.5,0.375
20,2,0.541666666666667,0.583333333333333,0.5
21,1,0.375,0.333333333333333,0.416666666666667
21,2,0.479166666666667,0.458333333333333,0.5
22,1,0.458333333333333,0.625,0.291666666666667
22,2,0.479166666666667,0.625,0.333333333333333
23,1,0.5,0.5,0.5
23,2,0.625,0.666666666666667,0.583333333333333
24,1,0.604166666666667,0.625,0.583333333333333
24,2,0.479166666666667,0.625,0.333333333333333
25,1,0.583333333333333,0.541666666666667,0.625
25,2,0.625,0.666666666666667,0.583333333333333
26,1,0.5,0.5,0.5
26,2,0.625,0.625,0.625
27,1,0.479166666666667,0.5,0.458333333333333
27,2,0.479166666666667,0.541666666666667,0.416666666666667
28,1,0.395833333333333,0.375,0.416666666666667
28,2,0.520833333333333,0.5,0.541666666666667
29,1,0.5,0.583333333333333,0.416666666666667
29,2,0.541666666666667,0.708333333333333,0.375
30,1,0.479166666666667,0.666666666666667,0.291666666666667
30,2,0.5,0.666666666666667,0.333333333333333
31,1,0.541666666666667,0.5,0.583333333333333
31,2,0.520833333333333,0.375,0.666666666666667
32,1,0.5,0.625,0.375
32,2,0.604166666666667,0.708333333333333,0.5
33,1,0.479166666666667,0.541666666666667,0.416666666666667
33,2,0.583333333333333,0.666666666666667,0.5
34,1,0.479166666666667,0.5,0.458333333333333
34,2,0.583333333333333,0.583333333333333,0.583333333333333
35,1,0.5,0.458333333333333,0.541666666666667
35,2,0.416666666666667,0.375,0.458333333333333
36,1,0.6875,0.583333333333333,0.791666666666667
36,2,0.479166666666667,0.333333333333333,0.625
37,1,0.583333333333333,0.833333333333333,0.333333333333333
37,2,0.416666666666667,0.5,0.333333333333333
38,1,0.541666666666667,0.583333333333333,0.5
38,2,0.395833333333333,0.333333333333333,0.458333333333333
